question,reponse,tags
Quelle est la meilleure plage à Kélibia ?,"Les plages de Kélibia sont réputées pour leur sable fin et leurs eaux claires, idéales pour la baignade et la détente.","plages,capbon,kélibia"
Quelles activités touristiques peut-on faire à Nabeul ?,"À Nabeul, vous pouvez profiter des plages, visiter les sites culturels, pratiquer des activités nautiques et découvrir la gastronomie locale.","tourisme,capbon,nabeul"
Quelle est la meilleure plage à El Haouaria ?,"Les plages de El Haouaria sont réputées pour leur sable fin et leurs eaux claires, idéales pour la baignade et la détente.","plages,capbon,el haouaria"
Nabeul est-elle adaptée aux familles ?,"Oui, Nabeul est adaptée aux familles grâce à ses plages sécurisées et ses activités variées.","famille,capbon,nabeul"
Que visiter à Korba ?,"À Korba, il est possible de visiter des sites historiques, des marchés locaux et des lieux culturels typiques.","culture,capbon,korba"
Hammamet est-elle adaptée aux familles ?,"Oui, Hammamet est adaptée aux familles grâce à ses plages sécurisées et ses activités variées.","famille,capbon,hammamet"
Quelles activités touristiques peut-on faire à El Haouaria ?,"À El Haouaria, vous pouvez profiter des plages, visiter les sites culturels, pratiquer des activités nautiques et découvrir la gastronomie locale.","tourisme,capbon,el haouaria"
Korba est-elle adaptée aux familles ?,"Oui, Korba est adaptée aux familles grâce à ses plages sécurisées et ses activités variées.","famille,capbon,korba"
Quelles activités touristiques peut-on faire à Hammamet ?,"À Hammamet, vous pouvez profiter des plages, visiter les sites culturels, pratiquer des activités nautiques et découvrir la gastronomie locale.","tourisme,capbon,hammamet"
Menzel Temime est-elle adaptée aux familles ?,"Oui, Menzel Temime est adaptée aux familles grâce à ses plages sécurisées et ses activités variées.","famille,capbon,menzel temime"
Que visiter à El Haouaria ?,"À El Haouaria, il est possible de visiter des sites historiques, des marchés locaux et des lieux culturels typiques.","culture,capbon,el haouaria"
Comment se déplacer à El Haouaria ?,"À El Haouaria, vous pouvez vous déplacer en taxi, en louant une voiture ou via les transports publics locaux.","transport,capbon,el haouaria"
Comment se déplacer à Hammamet ?,"À Hammamet, vous pouvez vous déplacer en taxi, en louant une voiture ou via les transports publics locaux.","transport,capbon,hammamet"
Que manger à Kélibia ?,"À Kélibia, vous pouvez déguster des spécialités locales comme le couscous au poisson, les fruits de mer et les pâtisseries traditionnelles.","gastronomie,capbon,kélibia"
Que visiter à Kélibia ?,"À Kélibia, il est possible de visiter des sites historiques, des marchés locaux et des lieux culturels typiques.","culture,capbon,kélibia"
Quelle est la meilleure plage à Menzel Temime ?,"Les plages de Menzel Temime sont réputées pour leur sable fin et leurs eaux claires, idéales pour la baignade et la détente.","plages,capbon,menzel temime"
Comment se déplacer à Nabeul ?,"À Nabeul, vous pouvez vous déplacer en taxi, en louant une voiture ou via les transports publics locaux.","transport,capbon,nabeul"
Que visiter à Hammamet ?,"À Hammamet, il est possible de visiter des sites historiques, des marchés locaux et des lieux culturels typiques.","culture,capbon,hammamet"
Quelles activités touristiques peut-on faire à Kélibia ?,"À Kélibia, vous pouvez profiter des plages, visiter les sites culturels, pratiquer des activités nautiques et découvrir la gastronomie locale.","tourisme,capbon,kélibia"
Que manger à Nabeul ?,"À Nabeul, vous pouvez déguster des spécialités locales comme le couscous au poisson, les fruits de mer et les pâtisseries traditionnelles.","gastronomie,capbon,nabeul"
Que manger à Menzel Temime ?,"À Menzel Temime, vous pouvez déguster des spécialités locales comme le couscous au poisson, les fruits de mer et les pâtisseries traditionnelles.","gastronomie,capbon,menzel temime"
Que visiter à Nabeul ?,"À Nabeul, il est possible de visiter des sites historiques, des marchés locaux et des lieux culturels typiques.","culture,capbon,nabeul"
