id;nom;categorie;ville;description;actif;coup_de_coeur;citation_haykel;gps_lat;gps_lng;photo_url;tel;horaires;prix;tags
31;Ecole de Céramique de Nabeul;activite;Nabeul;Centre d'art traditionnel où l'on peut voir les maîtres potiers au travail et s'essayer au tour.;OUI;NON;L'endroit idéal pour comprendre la poterie de Nabeul. Vous pouvez y acheter des pièces uniques directement des artistes.;36.4550;10.7330;;;8h-16h (Lun-Ven);Gratuit;"artisanat; poterie; céramique; atelier; culture; boutique"
32;Poterie Haj Ali;activite;Nabeul;"Famille de potiers renommée depuis plusieurs générations; spécialisée dans les émaux bleus et la décoration à la main.";OUI;NON;"La céramique bleue de Nabeul; c'est ici. Demandez à visiter le four traditionnel.";36.4540;10.7320;;;9h-18h;Gratuit;"artisanat; poterie; famille; tradition; magasin d'usine"
33;Castle of Baccus (Domaine Baccus);activite;Bouargoub;"Domaine viticole historique du Cap Bon; produisant des vins réputés (Chardonnay; Syrah). Visite et dégustation.";OUI;NON;Une belle surprise œnologique. Le vin tunisien mérite d'être découvert et ce domaine est un incontournable.;36.5620;10.5430;;+216 72 240 240;9h-17h (Fermé dimanche);15-30 Dt (dégustation);"vin; dégustation; domaine; œnologie; tourisme; Cap Bon"
34;Ras Adar Diving Center;activite;El Haouaria;Centre de plongée PADI/CMAS. Sorties vers l'île de Zembra. Vérifiez l'organisation et le nombre de participants avant de réserver.;OUI;NON;Le spot de plongée de référence à El Haouaria. Les fonds sont magnifiques mais vérifiez bien l'encadrement avant de réserver.;37.0490;11.0030;;+216 98 422 684;"9h-14h (Fermé lundi; mercredi; jeudi)";À partir de 80 Dt;"plongée; PADI; Zembra; épave; mer; aventure"
35;Association La Sirène Plongée;activite;El Haouaria;Association locale de plongée proposant des initiations et sorties encadrées. Alternative familiale et sans but lucratif.;OUI;NON;"L'association La Sirène; une approche plus locale et conviviale de la plongée à El Haouaria. Demandez les tarifs sur place.";37.0470;11.0040;;;Sur réservation;À partir de 60 Dt;"plongée; association; local; initiation; snorkeling; pas cher"
36;Jerbi Events;activite;El Haouaria;"Agence événementielle proposant des excursions en mer à bord du bateau 'Habiba'; des journées privatisées dans les criques et des camps de glamping. Une adresse incontournable pour découvrir la côte autrement.";OUI;OUI;La meilleure façon de découvrir les criques secrètes d'El Haouaria ! Le bateau Habiba vous emmène dans des endroits inaccessibles à pied. Mention spéciale pour le Glamping sous les étoiles.;37.0470;11.0020;;+216 24 055 055;Sur réservation;À partir de 165 Dt (glamping);"bateau; excursion; mer; glamping; crique; événementiel; local"
37;Samara Disco;boite_de_nuit;Hammamet;"Boîte de nuit mythique de la région; connue pour son ambiance électro et ses soirées animées en saison.";OUI;NON;"La vie nocturne de Hammamet. C'est bruyant; c'est bondé; mais c'est l'expérience estivale.";36.4300;10.6100;;+216 72 226 600;23h-04h (Saison estivale);À partir de 30 Dt (entrée);"club; disco; soirée; musique; nuit; fête"
38;El Bey Night Club;boite_de_nuit;Hammamet;"Club branché de la zone touristique; avec DJs internationaux et show lumineux. Fréquenté par une clientèle chic.";OUI;NON;Pour une nuit plus glamour. Pensez à réserver une table si vous venez en groupe.;36.4330;10.6110;;;23h30-05h;À partir de 40 Dt (entrée);"night-club; DJ; chic; soirée; boîte; fête"
39;Latitude 36;boite_de_nuit;Kelibia;"Nouveau club en bord de mer à Kelibia; ambiance plus décontractée et musique variée (RNB; Latino; Électro).";OUI;NON;Enfin un vent de fraîcheur à Kelibia! Parfait pour danser en terrasse face à la mer.;36.8760;11.1060;;;22h-03h (Jeu-Sam);À partir de 20 Dt;"club; plage; soirée; musique; terrasse; coucher de soleil"
40;Clinique Taoufik Kelibia;sante;Kelibia;"Clinique privée polyvalente; la mieux équipée du secteur. Services d'urgences 24/7; radiologie et analyses.";OUI;NON;"En cas de pépin; c'est là qu'il faut aller. Personnel francophone; ce qui rassure.";36.8400;11.0890;;+216 72 270 700;24h/24;Sur devis;"hôpital; clinique; urgence; santé; docteur; soins"
41;Hôpital Régional de Nabeul;sante;Nabeul;"Principal hôpital public de la région du Cap Bon; avec tous les services de base et des urgences 24/7.";OUI;NON;"Le grand hôpital de secteur. Pour des problèmes sérieux; ils sont équipés.";36.4500;10.7200;;+216 72 222 666;24h/24;Gratuit;"hôpital; public; urgence; santé; soins; région"
42;Maison de Jeunes de Kélibia;activite;Kelibia;"Centre culturel et de loisirs pour jeunes; avec salle informatique; bibliothèque et activités sportives.";OUI;NON;Bon plan pour se connecter ou demander des infos locales. Ambiance très familiale.;36.8480;11.0900;;+216 72 295 500;8h-17h (Lun-Ven);Gratuit;"jeunes; culture; sport; loisirs; local; rencontre"
43;Maison des Jeunes d'El Haouaria;activite;El Haouaria;Point de rencontre pour les activités éducatives et culturelles de la ville. Parfait pour s'imprégner de la vie locale.;OUI;NON;Un endroit simple et accueillant pour comprendre la jeunesse d'El Haouaria.;37.0500;11.0030;;;9h-18h (Lun-Ven);Gratuit;"jeunes; culture; local; éducation; sport"
44;Neapolis;activite;Nabeul;"Site archéologique romain en plein centre-ville; avec des thermes et une magnifique mosaïque d'Océan et Téthys.";OUI;NON;Une petite pépite cachée en plein Nabeul. Les mosaïques sont à couper le souffle.;36.4520;10.7330;;;9h-16h (Fermé lundi);5 Dt;"romain; mosaïque; archéologie; centre-ville; histoire"
45;Dar El Kébira;activite;Nabeul;"Palais historique du XVIIe siècle; exemple rare d'architecture résidentielle ottomane. Abrite un petit musée.";OUI;NON;"Un voyage dans le temps. Ce palais est un havre de paix et de fraîcheur; méconnu des touristes.";36.4530;10.7340;;;10h-13h/15h-17h (Fermé dimanche);4 Dt;"palais; musée; architecture; ottoman; histoire; cour intérieure"
46;Parc Naturel des îles Zembra et Zembretta;activite;El Haouaria;"Réserve de biosphère UNESCO; îles sauvages interdites d'accès au public mais visibles en excursion en bateau.";OUI;NON;Un sanctuaire pour la faune et la flore. Les excursions autour de l'île offrent des paysages lunaires.;37.0700;10.9800;;;Excursions sur réservation (Printemps/Eté);50-80 Dt (excursion);"UNESCO; île; réserve; nature; oiseaux; excursion bateau"
47;Location Bateau Kelibia;activite;Kelibia;"Sorties en mer à la journée; pêche au large ou promenade jusqu'aux criques secrètes de El Haouaria.";OUI;NON;Louez un petit bateau pour découvrir la côte comme personne. Les grottes marines se méritent!;36.8800;11.1100;;;Sur réservation;100-200 Dt/jour;"bateau; pêche; promenade; mer; privé; crique"
48;Marché Central de Kélibia;activite;Kelibia;"Marché couvert authentique où se mêlent odeurs d'épices; poissons du matin et légumes de saison.";OUI;NON;Pour une vraie immersion sensorielle. Les étals de piments et d'olives sont superbes.;36.8460;11.0920;;;6h-14h (Fermé dimanche);Gratuit;"marché; local; épices; poisson; fruits; légumes"
49;Hammam El Medina Kélibia;activite;Kelibia;"Hammam traditionnel séparé pour hommes et femmes; rituel de gommage et massage à l'huile d'olive.";OUI;NON;Un vrai hammam populaire. Parfait après une journée de randonnée.;36.8470;11.0910;;;9h-20h (Femmes AM / Hommes PM);8-15 Dt;"hammam; bien-être; traditionnel; gommage; massage; local"
50;Station Service KM 18 (El Haouaria);service;El Haouaria;Dernière station-service avant les grottes et le cap. Petit supermarché et snack sur place.;OUI;NON;"Faites le plein ici avant de partir explorer les pistes; c'est la dernière avant le bout du monde.";37.0400;11.0010;;+216 72 123 456;7h-22h;Non précisé;"essence; service; dépannage; snack; local"
51;Gendarmerie d'El Haouaria;service;El Haouaria;Brigade de gendarmerie nationale pour la sécurité et les secours en cas de problème en zone rurale.;OUI;NON;Notez ce numéro en cas de pépin sur les sentiers de randonnée.;37.0510;11.0050;;+216 72 293 000;24h/24;Gratuit;"gendarmerie; police; urgence; sécurité; service public"
52;Pharmacie Centrale El Haouaria;sante;El Haouaria;"Officine de garde bien approvisionnée; avec un service de garde la nuit et le week-end.";OUI;NON;La pharmacie de référence pour toute la région. Ils parlent souvent français.;37.0500;11.0020;;+216 72 293 150;8h-20h (Garde tournante);Non précisé;"pharmacie; santé; médicaments; urgence; local"
53;Office de Tourisme El Haouaria;service;El Haouaria;Petit office de tourisme municipal pour obtenir des cartes des sentiers et des infos sur les horaires des grottes.;OUI;NON;Passez-y dès votre arrivée pour récupérer le plan des grottes. Les agents sont très utiles.;37.0510;11.0040;;+216 72 293 050;8h30-16h30 (Fermé WE);Gratuit;"office tourisme; information; carte; guide; local"
54;Restaurant La Plage (Kélibia);restaurant;Kelibia;"Brasserie de plage décontractée; spécialités de pâtes et salades; parfaite pour un déjeuner rapide.";OUI;NON;"Pieds dans le sable; service rapide et prix doux. Idéal pour les familles.";36.8770;11.1090;;;10h-20h;10-20 Dt;"plage; brasserie; rapide; famille; pizza; sandwich"
55;Restaurant Dar El Fen;restaurant;Nabeul;"Cuisine tunisienne raffinée dans une belle maison d'hôte; avec un superbe jardin intérieur.";OUI;NON;Une table pour un dîner romantique. Le couscous aux légumes de saison est une tuerie.;36.4550;10.7360;;;12h-14h30 / 19h-22h (Fermé mar.);20-35 Dt;"tunisien; raffiné; jardin; romantique; maison d'hôte"
56;Café Les Jardins;cafe;Nabeul;"Grand café en plein centre; célèbre pour son thé au jasmin et ses pâtisseries tunisiennes (makroud).";OUI;NON;La pause gourmande à Nabeul. Leur cornes de gazelle sont à tomber.;36.4530;10.7350;;;6h-22h;2-6 Dt;"café; pâtisserie; thé; tunisien; centre-ville; local"
57;La Barraque du Port;restaurant;Kelibia;"Petite échoppe emblématique en bord de quai; servant des fritures de poisson dans du papier journal.";OUI;NON;"L'expérience la plus authentique de Kelibia. Vous mangez accoudé au port; les doigts pleins de sel.";36.8440;11.0930;;;11h-16h;5-10 Dt;"poisson; friture; port; local; pas cher; authentique"
58;Hôtel Syphax;hebergement;Kelibia;"Hôtel 2* simple mais bien situé; à deux pas de la plage Petit Paris et du fort. Rapport qualité-prix.";OUI;NON;"Pas de luxe; mais un lit propre et une vue magnifique depuis la terrasse.";36.8700;11.1070;;+216 72 295 411;Check-in 14h-20h;70-120 Dt/nuit;"petit prix; vue mer; terrasse; simple; centre-ville"
59;Villa Bianca;hebergement;Kelibia;"Maison d'hôtes de charme avec piscine; décor soigné et petits déjeuners gargantuesques.";OUI;NON;Une adresse secrète pour une escapade en couple. Le jardin est une oasis.;36.8690;11.1060;;;Sur réservation;150-250 Dt/nuit;"charme; piscine; petit-déjeuner; calme; luxe discret"
60;Dar El Haouaria;hebergement;El Haouaria;"Gîte rural typique; idéal pour les groupes d'amis ou les familles. Grande terrasse avec vue sur les montagnes.";OUI;NON;Le pied-à-terre parfait pour explorer les sentiers. Prévoyez vos courses avant d'arriver.;37.0480;11.0080;;;Sur réservation;80-150 Dt/nuit;"gîte; groupe; famille; terrasse; nature; campagne"
61;Le Saf Saf (Location de voitures);service;Kelibia;"Petite agence de location locale; souvent moins chère que les grandes enseignes. Voitures parfois anciennes.";OUI;NON;"Idéal pour louer une voiture pas chère. Négociez un peu; et vérifiez les pneus!";36.8460;11.0910;;+216 72 295 800;8h-18h;À partir de 50 Dt/jour;"location voiture; pas cher; local; conseil; transport"
62;Hypermarche Magasin Général (Nabeul);service;Nabeul;"Grande surface moderne pour faire le plein de courses; d'eau; et de produits locaux (dattes; huile d'olive).";OUI;NON;Le refuge quand la chaleur est trop forte. Le rayon épices est très fourni.;36.4480;10.7310;;;8h-22h;Non précisé;"supermarché; courses; épicerie; clim; local"
63;Station Taxi Kélibia;service;Kelibia;"Station principale de taxis individuels (louages) pour les trajets vers Tunis; Nabeul ou Hammamet.";OUI;NON;Pour les départs sans voiture. Le trajet vers Tunis coûte environ 10-12 Dt par place.;36.8470;11.0920;;;24h/24;Variable;"taxi; louage; transport; gare routière; local"
64;Phare de Kelibia;activite;Kelibia;"Phare historique situé à l'extrémité du cap; gardien silencieux des côtes. Accès libre par un petit sentier.";OUI;NON;Le meilleur spot pour une promenade au vent. La vue sur la Mansoura depuis le phare est unique.;36.8840;11.1120;;;Accès libre;Gratuit;"phare; promenade; vue mer; coucher soleil; local"
65;Église de Kelibia;activite;Kelibia;"Vestige de l'époque coloniale; petite église abandonnée au charme désuet; symbole du passé cosmopolite.";OUI;NON;Un lieu chargé d'histoire et de mélancolie. Très photogénique.;36.8490;11.0920;;;Accès libre;Gratuit;"histoire; coloniale; architecture; photo; ruine"
66;Jardin Public de Nabeul;activite;Nabeul;"Parc ombragé avec des bancs; des fontaines et des jeux pour enfants. Un havre de paix en ville.";OUI;NON;Idéal pour une sieste à l'ombre des orangers. Le lieu de rendez-vous des familles le week-end.;36.4520;10.7340;;;8h-20h;Gratuit;"jardin; parc; famille; repos; ombre; local"
67;Port Yacht Hammamet;activite;Hammamet;"Marina moderne avec des bateaux de luxe; boutiques chic et restaurants branchés.";OUI;NON;Pour une soirée un peu plus huppée. Baladez-vous sur les quais en fin d'après-midi.;36.4270;10.6120;;;Accès libre;Gratuit;"port; yacht; luxe; promenade; restaurants; boutique"
68;Dar Sébastien (Restaurant et Bar);restaurant;Hammamet;"Restaurant gastronomique réputé; installé dans une ancienne maison andalouse. Cuisine internationale de qualité.";OUI;NON;Le rendez-vous des amateurs de bonne chère. Un cadre idyllique pour un repas de fête.;36.4310;10.6130;;+216 72 226 000;12h-15h / 19h-23h;40-80 Dt;"gastronomique; andalou; cadre; bar; luxe; international"
69;Plage de Hammamet Sud;plage;Hammamet;"Longue plage de sable fin bordée d'hôtels clubs. Animée; avec des activités nautiques.";OUI;NON;"La plage ""carte postale"". Parfaite si vous cherchez l'animation et les transats.";36.4100;10.6000;;;Accès libre;Gratuit;"plage; animée; nautique; sable fin; clubs; tourisme"
70;Centre Commercial Hammamet;service;Hammamet;"Centre avec magasins de vêtements; cafétéria et supermarché. Un bon plan pour les jours de pluie.";OUI;NON;"Pour faire du shopping au sec; ou simplement prendre un café à la terrasse.";36.4280;10.6140;;;10h-20h;Non précisé;"shopping; centre commercial; magasins; café; clim"
71;Dougga (Excursion depuis Cap Bon);activite;Teboursouk;"Site romain le mieux préservé d'Afrique du Nord; classé UNESCO. À faire absolument si vous avez le temps.";OUI;NON;"Le joyau de l'Afrique romaine. Il faut compter 2h de route depuis Kélibia; mais ça vaut le détour.";36.4230;9.2200;;;8h30-17h30;10 Dt;"UNESCO; romain; exceptionnel; excursion; histoire; ruines"
72;Barrage Oued El Abid;randonnee;Beni Khalled;"Lac artificiel entouré de collines verdoyantes; idéal pour le pique-nique et l'observation des oiseaux.";OUI;NON;La campagne du Cap Bon dans toute sa splendeur. Très paisible.;36.6100;10.5500;;;Accès libre;Gratuit;"barrage; lac; nature; pique-nique; oiseaux; randonnée"
73;Ferme Pédagogique Cap Bon;activite;Soliman;Ferme dédiée aux enfants (et aux adultes) pour découvrir les animaux de la ferme et la traite des vaches.;OUI;NON;Une excellente sortie en famille. Les enfants adorent.;36.7000;10.5000;;+216 XX XXX XXX;9h-17h (Week-end);5 Dt;"ferme; enfants; famille; animaux; pédagogique; nature"
74;Dar Khemir (Musée des Arts et Traditions);activite;Nabeul;"Musée ethnographique installé dans une belle demeure; présentant costumes; bijoux et céramiques.";OUI;NON;Pour comprendre la vie quotidienne d'autrefois dans la région. Très bien documenté.;36.4550;10.7350;;;9h-16h (Fermé lundi);5 Dt;"musée; ethnographie; traditions; costumes; bijoux; culture"
75;Théâtre Romain de Nabeul;activite;Nabeul;"Petit théâtre romain récemment mis en valeur; situé dans le parc archéologique de Neapolis.";OUI;NON;Un lieu intimiste qui accueille parfois des spectacles en été.;36.4520;10.7340;;;8h-17h;Inclus dans site Neapolis;"romain; théâtre; archéologie; spectacle; histoire"
76;Cap Bon Kelibia Beach;plage;Kelibia;La partie nord de la plage de la Mansoura juste devant le grand hôtel. Très bien entretenue.;OUI;NON;Plus calme que le centre de Mansoura car un peu plus éloignée des parkings.;36.8800;11.1100;;;Accès libre;Gratuit;"sable blanc; eau turquoise; hôtel; famille; baignade"
77;Plage de Dar Chaabane;plage;Dar Chaabane;Plage familiale peu profonde idéale pour les enfants. Eau très calme.;OUI;NON;Attention parfois à la qualité de l'eau après de fortes pluies à cause des ruissellements.;36.5000;10.7500;;;Accès libre;Gratuit;"famille; eau calme; locale; sable"
78;Festival International de Hammamet;activite;Hammamet;"Festival culturel majeur se déroulant dans le prestigieux fort de Hammamet. Théâtre; musique et danse.";OUI;NON;Se renseigner sur la programmation qui attire parfois des artistes internationaux de renom.;36.3800;10.6150;;;Juillet-Août;15-50 Dt;"festival; culture; théâtre; musique; été; international"
79;Ras El Fortas;point_de_vue;El Haouaria;Point de vue panoramique exceptionnel sur la mer et les îles Zembra. Parfait pour les photographes.;OUI;NON;"Le meilleur spot pour voir le coucher du soleil derrière Zembra; c'est magique.";37.0600;11.0110;;;Accès libre;Gratuit;"panorama; vue; photo; coucher soleil; randonnée"
80;Château Baccus;activite;Bouargoub;Domaine viticole et château historique;OUI;NON;Superbe visite avec dégustation.;36.5400;10.5500;;+216 72 240 240;9h-17h;15-30 Dt;"vin; dégustation; histoire; château"
81;Criques El Mteris;crique;El Haouaria;"Succession de criques sauvages aux eaux turquoise; falaises abruptes et sentiers côtiers. Un des plus beaux sites préservés du Cap Bon.";OUI;OUI;"Un trésor caché entre mer et falaises — l'eau est d'une limpidité incroyable. Apportez masque et tuba; les fonds marins sont splendides.";37.0520;11.0010;;;Accessible toute l'année (privilégiez printemps/automne);Gratuit;"crique; eau cristalline; snorkeling; sauvage; randonnée; préservé"
